sleep_day,awake_duration_mins,asleep_unspecified_duration_mins,asleep_core_duration_mins,asleep_rem_duration_mins,asleep_deep_duration_mins,total_sleep_duration_mins,total_time_in_bed_mins,sleep_period_start,sleep_period_end
2022-09-14,2.5,0.0,215.0,109.0,56.5,380.5,383.0,2022-09-14T23:37:37.000000+0000,2022-09-15T05:32:07.000000+0000
2022-09-15,2.5,0.0,269.5,111.0,81.0,461.5,464.0,2022-09-15T22:17:02.000000+0000,2022-09-16T05:58:02.000000+0000
2022-09-16,18.5,0.0,232.5,105.5,94.0,432.0,450.5,2022-09-16T22:30:17.000000+0000,2022-09-17T05:59:17.000000+0000
2022-09-17,15.0,0.0,265.5,127.5,51.5,444.5,459.5,2022-09-17T22:52:32.000000+0000,2022-09-18T06:30:32.000000+0000
2022-09-18,7.0,0.0,229.5,79.0,62.0,370.5,377.5,2022-09-18T23:13:29.000000+0000,2022-09-19T05:17:59.000000+0000
2022-09-19,3.0,0.0,227.5,111.5,60.5,399.5,402.5,2022-09-19T23:19:08.000000+0000,2022-09-20T05:40:38.000000+0000
2022-09-20,3.0,0.0,252.5,79.5,87.0,419.0,422.0,2022-09-20T23:00:14.000000+0000,2022-09-21T05:30:44.000000+0000
2022-09-21,6.0,0.0,278.5,143.0,75.0,496.5,502.5,2022-09-21T21:37:02.000000+0000,2022-09-22T05:57:32.000000+0000
2022-09-22,4.0,0.0,300.5,97.5,57.5,455.5,459.5,2022-09-22T22:33:32.000000+0000,2022-09-23T06:12:02.000000+0000
2022-09-23,1.0,0.0,230.0,115.5,70.5,416.0,417.0,2022-09-23T23:13:22.000000+0000,2022-09-24T05:49:22.000000+0000
2022-09-24,8.0,0.0,295.0,112.0,75.0,482.0,490.0,2022-09-24T23:46:24.000000+0000,2022-09-25T07:11:24.000000+0000
2022-09-25,7.0,0.0,248.0,101.5,43.5,393.0,400.0,2022-09-25T23:23:02.000000+0000,2022-09-26T05:56:32.000000+0000
2022-09-27,26.5,0.0,294.0,83.5,45.0,422.5,449.0,2022-09-27T22:35:41.000000+0000,2022-09-28T06:02:41.000000+0000
2022-09-28,8.0,0.0,184.5,74.0,80.5,339.0,347.0,2022-09-29T00:23:32.000000+0000,2022-09-29T06:02:02.000000+0000
2022-09-29,8.5,0.0,251.0,107.0,41.5,399.5,408.0,2022-09-29T23:19:41.000000+0000,2022-09-30T05:46:11.000000+0000
2022-09-30,1.0,0.0,282.0,135.0,74.5,491.5,492.5,2022-09-30T22:51:59.000000+0000,2022-10-01T06:55:29.000000+0000
2022-10-01,5.5,0.0,242.5,90.5,69.0,402.0,407.5,2022-10-02T00:13:03.000000+0000,2022-10-02T06:45:33.000000+0000
2022-10-02,9.5,0.0,222.5,75.0,79.0,376.5,386.0,2022-10-02T23:50:02.000000+0000,2022-10-03T06:15:02.000000+0000
2022-10-03,13.5,0.0,192.0,20.5,56.0,268.5,282.0,2022-10-03T23:39:11.000000+0000,2022-10-04T04:18:11.000000+0000
2022-10-04,1.0,0.0,193.0,77.0,55.5,325.5,326.5,2022-10-04T22:45:29.000000+0000,2022-10-05T04:09:29.000000+0000
2022-10-05,3.0,0.0,238.5,137.5,58.0,434.0,437.0,2022-10-05T23:14:10.000000+0000,2022-10-06T06:13:10.000000+0000
2022-10-06,39.0,0.0,255.0,90.5,66.5,412.0,451.0,2022-10-06T22:25:44.000000+0000,2022-10-07T05:54:44.000000+0000
2022-10-07,0.0,0.0,240.0,135.5,74.0,449.5,449.5,2022-10-07T23:50:47.000000+0000,2022-10-08T07:19:17.000000+0000
2022-10-08,8.0,0.0,250.5,84.0,47.0,381.5,389.5,2022-10-08T23:32:02.000000+0000,2022-10-09T05:54:02.000000+0000
2022-10-09,5.0,0.0,254.0,110.0,54.0,418.0,423.0,2022-10-09T22:59:26.000000+0000,2022-10-10T05:34:56.000000+0000
2022-10-10,10.5,0.0,313.0,88.0,50.0,451.0,461.5,2022-10-10T22:19:44.000000+0000,2022-10-11T05:47:44.000000+0000
2022-10-11,13.0,0.0,255.5,116.5,80.5,452.5,465.5,2022-10-11T22:12:31.000000+0000,2022-10-12T05:25:31.000000+0000
2022-10-12,9.0,0.0,238.0,91.5,38.0,367.5,376.5,2022-10-12T23:25:06.000000+0000,2022-10-13T05:32:06.000000+0000
2022-10-13,63.0,0.0,271.5,102.0,51.0,424.5,487.5,2022-10-13T22:03:30.000000+0000,2022-10-14T06:06:00.000000+0000
2022-10-14,9.0,0.0,289.0,146.0,50.0,485.0,494.0,2022-10-14T21:24:44.000000+0000,2022-10-15T05:31:14.000000+0000
2022-10-15,5.0,0.0,206.0,104.0,60.5,370.5,375.5,2022-10-16T00:43:31.000000+0000,2022-10-16T06:57:31.000000+0000
2022-10-16,2.5,0.0,281.5,108.0,69.0,458.5,461.0,2022-10-16T22:27:24.000000+0000,2022-10-17T05:46:24.000000+0000
